T,Mean,Sd
0.1,1.0467301828227908,0.519954903744365
0.15,1.0428662317899744,0.5227585564348944
0.2,0.9856920147315474,0.5398322149767284
0.25,0.8548248879377028,0.5451008287088253
0.3,0.7716753655945107,0.5619649571761683
0.4,0.61274785814442,0.5815874091773329
0.5,0.5077870499496695,0.6029747520783431
0.75,0.3699460188935782,0.640722800854911
1.0,0.2725731968839999,0.6542293610169734
1.5,0.1756277883606301,0.6674750244210047
2.0,0.1223802651175661,0.670591149660704
3.0,0.0759134669947659,0.678055469074007
4.0,0.05663195440970989,0.6814163051315553
5.0,0.0445673089392703,0.6985293286505644
7.5,0.025677526258200696,0.6957384140461637
10.0,0.015304868611836595,0.7136140921334971
